"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"Ronda de memes de los signos 🔮✨😌 Parte 1 https://t.co/5pmyhzYL1p","5","67","436","https://twitter.com/horoscoponegro/status/1526269112686718977","2022-05-16T18:31:27.000Z"
"#LIBRA: te hundes pocas veces, porque eres demasiado optimista. Hasta que no tienes la soga al cuello no empiezas a ver la gravedad.","0","28","223","https://twitter.com/horoscoponegro/status/1526240116917866500","2022-05-16T16:36:14.000Z"
"¿A qué son alérgicos los signos? 🔮 https://t.co/7TvYS6x7st","44","189","2182","https://twitter.com/horoscoponegro/status/1526205644495364107","2022-05-16T14:19:15.000Z"
"Las 7 parejas que se llevan como el perro y el gato 🔮 https://t.co/7yGD6m5wfR","29","37","556","https://twitter.com/horoscoponegro/status/1525928565073747968","2022-05-15T19:58:14.000Z"
"#ESCORPIO: lo tuyo es intensidad pura y dura. Tu lo das todo o no das nada. O te pasas o no llegas...Lo sabes.","5","58","331","https://twitter.com/horoscoponegro/status/1525923313977114625","2022-05-15T19:37:22.000Z"
"#SAGITARIO: eres contundente. Si algo se dice,se tiene que hacer. No sueles dar marcha atrás en tus decisiones. Aunque no sean las correctas","2","34","179","https://twitter.com/horoscoponegro/status/1525877764305391616","2022-05-15T16:36:23.000Z"
"La pirámide de necesidades de los signos 🔮✨ https://t.co/nbMnycRLsr","3","80","739","https://twitter.com/horoscoponegro/status/1525874721912406018","2022-05-15T16:24:17.000Z"
"¿Cómo tratas a tu ex según tu signo? 🔮 https://t.co/Mc2Pog9J0Z","18","83","1209","https://twitter.com/horoscoponegro/status/1525852100353265664","2022-05-15T14:54:24.000Z"
"Ranking de los signos con más probabilidades de dejarte en visto 🔮 https://t.co/yVFH9Y3mGm","28","66","855","https://twitter.com/horoscoponegro/status/1525565926355132419","2022-05-14T19:57:15.000Z"
"#CAPRICORNIO: una de tus frases estrella es: ""cállate y escucha"". Lo sabes. Detestas a la gente que habla sin saber y no dice nada en claro.","3","27","193","https://twitter.com/horoscoponegro/status/1525561390806749184","2022-05-14T19:39:13.000Z"
"Persona con ascedente en cada signo 🔮🖤
Parte 1 ✨ https://t.co/vZ97iG5Kyv","0","41","288","https://twitter.com/horoscoponegro/status/1525512087715340289","2022-05-14T16:23:19.000Z"
